id,instruction,modality_hint,task,class
995,Is it possible to boost the thick-slice resolution in this MRI image affecting the pelvic organs while maintaining diagnostic integrity as soon as possible?,MRI,medical image restoration – super-resolution,SR
424,Would you reduce temporal blurring in this CT image affecting the deep gray nuclei while preserving subtle pathology ?,CT,medical image restoration – deblurring,blur
992,Can you reduce undersampling streak artifacts affecting the splenic tissue while keeping edges sharp ?,implicit,medical image restoration – low-dose artifact reduction,low-dose
222,Would you suppress structured noise in this X-ray image affecting the spinal cord while preserving natural texture ?,X-ray,medical image restoration – denoising,noise
507,Would you correct defocus blur in this MRI image affecting the cortical bone while keeping anatomical boundaries sharp urgently?,MRI,medical image restoration – deblurring,blur
861,"For this case, can you reconstruct the coarse voxel resolution in this X-ray image affecting the vascular lumen while maintaining diagnostic integrity for accurate diagnosis?",X-ray,medical image restoration – super-resolution,SR
564,"For this case, can you increase the thick-slice resolution in this MRI image affecting the pulmonary vessels without amplifying noise for reliable interpretation?",MRI,medical image restoration – super-resolution,SR
124,Can someone reduce structured noise in this PET image affecting the abdominal organs without altering intensity relationships for immediate review?,PET,medical image restoration – denoising,noise
513,Would you mitigate photon starvation streaks in this PET scan affecting the spinal cord while preserving diagnostic contrast ?,PET,medical image restoration – low-dose artifact reduction,low-dose
501,I need you to sharpen reconstruction blur in this PET image affecting the renal medulla without introducing artificial edges as soon as possible?,PET,medical image restoration – deblurring,blur
109,Can someone suppress structured noise in this MRI image affecting the small lung nodules while preserving natural texture for accurate diagnosis?,MRI,medical image restoration – denoising,noise
282,Would you suppress speckle noise in this CT image affecting the hepatic vessels while preserving subtle pathology ?,CT,medical image restoration – denoising,noise
550,"For this case, can you mitigate temporal blurring affecting the meniscal tissue while preserving natural texture for immediate review?",implicit,medical image restoration – deblurring,blur
558,Can you compensate for out-of-plane motion blur in this MRI image affecting the soft tissue planes while preserving natural texture as soon as possible?,MRI,medical image restoration – deblurring,blur
602,Please mitigate low-dose noise in this PET image affecting the hepatic vessels without masking small structures for reliable interpretation?,PET,medical image restoration – denoising,noise
603,I need you to resolve temporal blurring in this MRI image affecting the hip joint while preserving natural texture for reliable interpretation?,MRI,medical image restoration – deblurring,blur
443,Would you sharpen out-of-plane motion blur affecting the surrounding parenchyma without amplifying noise for reliable interpretation?,implicit,medical image restoration – deblurring,blur
780,Can someone mitigate electronic sensor noise in this PET image affecting the meniscal tissue while maintaining diagnostic contrast as soon as possible?,PET,medical image restoration – denoising,noise
219,Can someone sharpen partial volume blur affecting the sinus cavities while preserving subtle pathology urgently?,implicit,medical image restoration – deblurring,blur
108,Can you suppress photon starvation streaks affecting the kidney cortex without blurring fine anatomy as soon as possible?,implicit,medical image restoration – low-dose artifact reduction,low-dose
898,Would you mitigate partial volume blur in this PET image affecting the nerve roots while preserving natural texture ?,PET,medical image restoration – deblurring,blur
737,Would you sharpen spatial blurring in this MRI image affecting the hepatic vessels while preserving subtle pathology as soon as possible?,MRI,medical image restoration – deblurring,blur
324,Would you sharpen the blurred detail due to low resolution in this X-ray image affecting the splenic tissue without amplifying noise for reliable interpretation?,X-ray,medical image restoration – super-resolution,SR
481,Can you compensate for quantum mottle affecting the tumor margins while keeping edges sharp for accurate diagnosis?,implicit,medical image restoration – low-dose artifact reduction,low-dose
